,question,correct,answerA,answerB,answerC,answerD,Further Expl.
Question 1,What band released the Important record Punk is Ghetto in 1998? ,A//Political,A//Political,Algiers,The Saints,Anti- Flag,
Question 2,"Afrika Bambaataa teamed up with former Sex Pistols singer Johnny Lydon in 1984 to record the anti-fascist, anti-racist classic ""World Destruction."" What was the name of their group? ", Time Zone, Time Zone,Death Zone,Fight Zone ,War Zone,
Question 3,"This folk punk artist, and champion of feminist causes, began her music career by starting her own record label- Righteous Babe Records. Who is the Artist? ",Ani DiFranco,Ani DiFranco,Laura Jane Grace,Lucinda Williams ,Tori Amos,
Question 4,In 2004 U.S. Representative�Jim McDermott gave a speech on the�House Floor where he praised�this�radical leftist punk band for encouraging young people to vote. ,Anti-Flag,Anti-Flag,Rise Against,NOFX,Against All Authority,
Question 5*,"The 1931 organized labor staple ""I Am a Union Women"" was written and sang by who?", Aunt Molly Jackson, Aunt Molly Jackson,Sara Carter,Marion Harris ,Bessie Smith,
Question 6*,The all female rock group Bad Larrys performed at this politician's New Hampshire rally for president in 2020. ,Bernie Sanders ,Bernie Sanders ,Kamala Harris,Joe Biden,Amy Klobuchar,
Question 7*,"What year did the music effort ""Band Aid"" begin? 1984",1984,1984,1980,1988,1986,
Question 8*,Ben Cohen and Jerry Greenfield's successful ice cream franchise rose to prominence through what music based subculture? ,The Deadheads ,The Deadheads ,The Juggalos ,The Mods,Punks,
Question 9*,What label did the feminist punk band Bikini Kill release their 1996 record Reject All American?  ,Kill Rock Stars ,Kill Rock Stars ,SST,Death Row Records,Lookout Records,
Question 10*,What's the name of radical folk singer Billy Bragg's first album? , Life's Riot With Spy vs Spy, Life's Riot With Spy vs Spy,Worker's Playtime,"England, Half English",Don't Try This at Home,
Question 12*,Where did the iconic rock magazine Rolling Stone get its name?   ,All of the Above,the band of the same name,"from the 1965 Bob Dylan song ""Like a Rolling Stone""",All of the Above,from a Muddy Waters song released in 1950?,
Question 14*,"These two women, from the feminist punk band Bratmobile, are credited with coining the term ""Riot Grrrl."" ",Allison Wolfe and Molly Neuman,Allison Wolfe and Molly Neuman,Kathleen Hanna and Tobi Vail,Kathi Wilcox and Molly Neuman, Sharon Cheslow and Courtney Love,
Question 15*,"The song ""Why?"", a 1984 hit song by the group Bronski Beat about anti-gay prejudice and hate appeared on what important album?", Age of Consent, Age of Consent,Truthdare Doubledare,Rainbow Nation,Red,
Question 16*,Who did former Republican Governor of New Jersey Chris Christie say was his favorite artist? ,Bruce Springsteen,Bruce Springsteen,Toby Keith,Bon Jovi,Thin Lizzy,
Question 17*,"The Buffalo Springfield youth movement classic of the 1960's ""For What its Worth"" was remade by what hip-hop group in the late 1990's? ",Public Enemy,Public Enemy,Dead Prez,Da Lynch Mob,X- Clan,
Question 18*,"During a 1977 episode of Sesame Street, who participated in the first representation of breastfeeding ever aired on television? ",Buffy Sainte- Marie,Buffy Sainte- Marie,Linda Ronstadt,Loretta Lynn,Olivia Newton-John,
Question 19*,"The song ""Black Magic Women"" was originally written by Fleetwood Mac member Peter Green and was memorably sung by which member of Santana on their 1970 landmark album Abraxas? ","Future Journey member, Greg Rolie",Carlos Santana,Guess singer Jimi Hendricks,Eric Burdon of the Animals,"Future Journey member, Greg Rolie",
Question 20*,"This UK based anarcho-punk band managed to reach mainstream success while staying true to their political convictions with popular songs like ""Tubthumping"" and ""Amnesia"" in the late 1990's. ",Chumbawamba,Chumbawamba,Crass,Conflict,Sham 69,
Question 21*,"The hip-Hop artist Common wrote ""A Song for Assata"" in 2000. Assata Shakur was a member of what black liberation organization of the 1970's and 80's?", the Black Liberation Army,Blackstone Rangers,the Black Panther Party,the Black Liberation Army,Nation of Islam,
