question,correct,answerA,answerB,answerC,answerD
"WHO STOLE THE SOUL?- This fourth rate rapper out of South Florida got sued for sampling the song ""Under Pressure"" by Freddie Mercury and David Bowie.",Vanilla Ice,Vanilla Ice,Dashius Clay,Bezz Believe,Gutta100
"WHO STOLE THE SOUL?- Which band wrote on Twitter  ""We literally hate you!"" in response to Wisconsin governor Scott Walker using their song ""I'm Shipping up to Boston"" at campaign events?",DropKick Murphys,DropKick Murphys,The Pogues,Flogging Molly,The Pixies
WHO STOLE THE SOUL?- Johnny Cash's Folsom Prison Blues was a take off of what song released by Gordon Jenkins and Beverley Mahr in 1953? ,"""Crescent City Blues""","""Crescent City Blues""","""Dead Town Blues""","""Fright Train Blues""","""Blue Prelude"""
WHO STOLE THE SOUL?- The Recording Industry Association of America sued a 12 year old in 2004 for sharing music files. How much did the girl settle for? ,"$2,000 ","$2,000 ","$4,000 ","$15,000 ","$25,000 "
WHO STOLE THE SOUL?- Florida candidate for governor Charlie Crist used a Talking Heads song in a 2010 attack video against rival Marco Rubio. David Byrne threatened legal action. What was the song?,"""Road to Nowhere""","""Road to Nowhere""","""Burning Down the House""","""Once in a Lifetime""","""Don't Worry About the Government"""
"WHO STOLE THE SOUL?- Elvis Presley turned the song ""Hound Dog"" into a big hit in 1956. It was originally recorded by what black blues female artist in 1952? ","Willie Mae ""Big Mama"" ","Willie Mae ""Big Mama"" ",Mahalia Jackson,Memphis Minnie,Sister Rosetta Tharpe
"WHO STOLE THE SOUL?- Which UK party was regularly using the Rage Against the Machine song ""Killing in the Name of"" at its rallies in 2011 until the band demanded that they stop? ",UK Independence Party,UK Independence Party,Conservative Party,Green Party,Labour Party
"WHO STOLE THE SOUL?- Which South African musician, singer and composer is best known as the originator of the song ""The Lion Sleeps Tonight."" ",Solomon Linda,Solomon Linda,Zahara,Miriam Makeba,Brenda Fassie
"WHO STOLE THE SOUL?- In the 1991 case Grand Upright Music, Ltd. v. Warner Bros. Records Inc., which hip hop artist was found guilty of copy write infringement for sampling? ",Biz Markie D,Biz Markie D,Chubb Rock,Shock G,Biggie Smalls
"WHO STOLE THE SOUL?- The Led Zeppelin hit song ""Whole Lotta Love"" was based on what Muddy Waters and Willie Dixon tune?","""You Need Love""","""You Need Love""","""Gotta Have Love""","
""Gonna Give you my Love""","""You Gotta Give me Your Love"""
"WHO STOLE THE SOUL?- This U.S. based folk and blues singer sued Nicki Minaj in 2018 for sampling her song ""Baby Can I Hold You."" ",Tracy Chapman,Tracy Chapman,Sheryl Crow,Tina Turner,Bonnie Raitt
WHO STOLE THE SOUL?- Public Enemy came out in support of this music online file sharing network after several artist had filed lawsuits against the service.,Napster,Napster,Tune In,Live 365,iHeart Radio
WHO STOLE THE SOUL?- Ronald Reagan unsuccessfully tried to use this song in his 1984 presidential campaign. Bruce Springsteen told his campaign no way. ,"""Born in the USA""","""Born in the USA""","""Glory Days""","""Born to Run""","""Blinded by the Light"""
"WHO STOLE THE SOUL?-Madonna was sued twice over her hit ""Justify My Love""; once for lifting beats, the other time for stealing the lyrics to the song. Who sued her? ",Public Enemy and Ingrid Chavez,Public Enemy and Ingrid Chavez,Big Daddy Kane and Jill Jones,Black Nubian and Diana Krall,Black Star and Norah Jones
"WHO STOLE THE SOUL?- In January 2014 Prince sued 22 fans, accusing them of sharing bootlegs of his concerts on the internet. How much did he demand each defendant pay? ",$1 million,$1 million,$2.5 million,"$1,000 ",$500 
